track_id,track_name,track_artists
0vsLoxgQjhL9DUfzhBh58B,"Pyar Ho (From ""Munna Michael"")","Vishal Mishra,Sunidhi Chauhan"
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")","Anirudh Ravichander,Arijit Singh,Shilpa Rao,Kumaar"
44qts4rkpUVFTzDPkEVqJk,Ve Kamleya,"Arijit Singh,Shreya Ghoshal,Shadab Faridi,Altamash Faridi,Amitabh Bhattacharya"
6byRW2mzuc4nBTZ6TN6APu,"Pasoori Nu (From ""Satyaprem Ki Katha"")","Arijit Singh,Rochak Kohli,Tulsi Kumar"
3izZ5WaGr0uNsglsGvlyaM,Kudmayi (Film Version),"Shahid Mallya,Amitabh Bhattacharya"
4gpsM51nvC5TiI2qPjb6P3,Ve Kamleya (Redux),"TUSHAR JOSHI,Shreya Ghoshal,Amitabh Bhattacharya"
2oaKoKA8bvgWfBi9M8wEVJ,Abhi Na Jao Chhod Kar,"Asha Bhosle,Mohammed Rafi"
6udC4b4jOSnHb9ItnXgKLR,Saibo,"Sachin-Jigar,Shreya Ghoshal,Tochi Raina"
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")","Arijit Singh,Shreyas Puranik,Siddharth - Garima"
2y9cKRYWrbPquZXJGYHbTG,Udd Jaa Kaale Kaava,"Mithoon,Udit Narayan,Alka Yagnik,Anand Bakshi"
1mYcukuz7uow0wc7DmPXHU,Rozana,"Shreya Ghoshal,Rochak Kohli"
4ApCig0GTR4IEp7Ijsyo3r,Arjan Vailly,"Manan Bhardwaj,Bhupinder Babbal"
133L8gUatgtOGZUn5PH20C,Hua Main,"Raghav Chaitanya,Manoj Muntashir,Pritam"
2zDYPNUwclRPsRgsy8ziwI,Papa Meri Jaan,"Sonu Nigam,Harshavardhan Rameshwar,Raj Shekhar"
066knGFDGi4wYLoBh4sFLY,Main Bhi Nahi Soya,"Arijit Singh,Vishal-Shekhar"
6IR6mzRO60hnMjNoq8rCPE,"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Raghav,Tanishk Bagchi,Asees Kaur"
77gskLti3ilCnuwlDq0m8j,"Phir Kabhi (From ""M.S.Dhoni - The Untold Story"")",Arijit Singh
6gwnKOvdBKkTU4CQ7KpIAu,"Bandeya - From ""Dil Juunglee""","Shaarib Toshi,Arijit Singh"
7mSzDKajY2wUtstQSLdzMK,Rang Lageya,"Mohit Chauhan,Rochak Kohli"
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi,Jubin Nautiyal,Asees Kaur"
5NdVbWjNxxzv3SMxtINLu2,"Nai Lagda (From ""Notebook"")","Vishal Mishra,Asees Kaur"
31kHXAWLHAjE3STuapEIyI,O Saathi,Arijit Singh
3JUmNYQyJKeRq2a3RR8K71,"Ijazat (From ""One Night Stand"")","Meet Bros.,Arijit Singh"
53DXM0bHfB7xkqJZYlksuh,Kaise Mujhe,"Benny Dayal,Shreya Ghoshal"
5pQODzb8j3xMQ1qvrQXJvo,Laung Da Lashkara,"Mahalakshmi Iyer,Hard Kaur,Jassi"
2pR0sWcRylkkNJtvMjYL18,Tu Mohabbat Hai,"Atif Aslam,Monali Thakur,Priya Saraiya,Sachin-Jigar"
3Gik3G1E5qVcOFYFXccoha,Ajnabi,"Mohit Chauhan,Shreya Ghoshal"
7hNYvX0qAKrxtVr1jGDmvR,Gallan Goodiyaan,"Yashita Sharma,Manish Kumar Tipu,Farhan Akhtar,Shankar Mahadevan,Sukhwinder Singh"
5GpK2be6lGPawut1iSqOKN,Ya Rabba,Kailash Kher
5C10OXEl9FAz4hcktww0le,Rihaayi De,A.R. Rahman
6onrKush01FO9MfXfltHWW,Choti Si Chiraiya,"A.R. Rahman,Kailash Kher"
0Gja8zsgCA3QqCCdt33GL5,Rock A Bye Baby,"A.R. Rahman,Julia Gartha,Khatija Rahman"
1O5mTSQa0sCce9ghhDqIZl,Jashn-E-Bahaaraa,"A.R. Rahman,Javed Ali"
0OGWPZujUqgF5ER4iSg2Qp,Mann Bharryaa 2.0,"B Praak,Jaani"
2ufLEVbzvEcJ3subW8jBUp,Lut Gaye,"Jubin Nautiyal,Tanishk Bagchi,Manoj Muntashir,Nusrat Fateh Ali Khan"
3P167vmmGRGKHoy7uDugvy,Itni Si Baat Hain,"Pritam,Arijit Singh,Antara Mitra"
3NRVxFOsRljsl8YVpFC8PW,Hasina Pagal Deewani,"Mika Singh,Asees Kaur"
1d8Wa9vbUEPDcSVUODLuX3,Ishq Hi Hai Rab,"Sonu Nigam,Shreya Ghoshal"
1wfmYC9gDGU5wp2LVrVSgx,Har Har Gange,"Arijit Singh,Siddharth-Garima"
3vjkllvtOIKpVvXSWsu1ta,Tu Hai,"A.R. Rahman,Sanah Moidutty"
1gEHNfJRSXpDVaEicwRRfe,Zinda,Amit Trivedi
3O9yuuwFSe9l6PUn5CovQM,"Lag Ja Gale (From ""Bhoomi"")","Rahat Fateh Ali Khan,Sachin-Jigar"
4YiG4XMkaStRuvErMMvRv2,Hans Mat Pagli,"Sonu Nigam,Shreya Ghoshal,Siddharth - Garima"
7CY0CmCpSglfUKCBOOiRfw,Illegal Weapon 2.0,"Jasmine Sandlas,Garry Sandhu"
